Company,Employee_ID,Department_ID,Branch_ID,Age,Gender_Code,Experience_Years,Education_Level,Job_Level,Salary_INR,Bonus_INR,Overtime_Hours,Training_Hours,Projects_Assigned,Projects_Completed,Performance_Score,Attendance_Percent,Leaves_Taken,Late_Logins,Promotion_Count,Client_Rating,Sales_Target,Sales_Achieved,Customer_Tickets,Resolved_Tickets,Work_Hours_Month,Manager_ID,Team_Size,Travel_Days,Remote_Work_Days,Office_Floor,Desk_Number,Laptop_Age_Months,Certification_Count,Monthly_KPI
Cisco,100012,29,161,45,1,18,5,9,1880515,236779,14,34,5,5,5,71.33,29,19,1,1.05,4093276,1808189,79,313,148,1599,15,8,13,2,2540,6,7,70.29
TCS,100013,2,130,27,1,6,1,5,976866,84620,34,119,17,20,4,81.24,7,19,0,4.58,426551,1927955,234,396,189,1160,10,15,9,13,2426,17,2,84.31
Intel,100014,29,124,26,0,5,3,6,848110,81354,27,90,14,13,4,74.87,21,20,0,3.29,2759062,3154074,55,444,186,1577,27,19,16,17,3952,37,5,98.82
Intel,100015,28,117,44,0,18,4,10,1833808,131131,23,199,4,16,3,84.99,2,6,0,3.11,3307381,4795728,25,422,171,1412,19,12,8,5,5981,56,4,71.85
TCS,100016,11,100,30,0,7,3,8,1060945,42008,21,101,9,3,1,91.74,0,29,1,2.37,1944421,3230982,25,306,186,1182,29,1,3,20,8441,66,13,91.61
Oracle,100017,20,154,42,0,18,5,7,2067806,111201,39,220,19,9,2,99.43,29,15,5,1.02,3867948,1545052,69,353,202,1501,15,10,22,3,8045,52,13,76.38
TCS,100018,9,163,41,0,16,3,5,1886420,114007,19,234,23,21,2,79.45,18,35,1,4.69,2171576,2886417,162,43,193,1455,15,15,6,6,8028,7,10,70.02
Apple,100019,12,113,34,1,13,4,10,1402609,154308,44,199,9,5,4,82.25,7,2,4,4.37,3468215,302041,43,235,198,1315,23,20,2,3,6165,48,12,55.7
TCS,100020,12,164,37,0,17,3,6,1859273,108273,16,296,12,24,2,75.84,7,36,5,2.21,798206,5312436,191,357,140,1040,7,6,14,1,8250,43,12,55.75
Microsoft,100021,18,112,65,0,35,2,9,3541510,330673,35,105,23,17,4,99.86,5,30,0,1.78,2245470,4903842,328,429,198,1320,11,4,18,12,7062,17,10,97.89
TCS,100022,8,177,53,0,28,5,7,2787234,143990,12,227,1,17,2,74.9,15,10,2,1.98,2527167,2214218,74,469,187,1271,6,20,17,7,5859,25,9,69.3
Intel,100023,28,170,31,1,4,2,8,636684,56235,6,114,14,4,2,89.59,17,22,3,2.53,3244048,3609583,48,458,221,1025,22,2,18,2,6205,72,14,76.65
Capgemini,100024,27,147,54,0,33,5,9,3368048,287610,36,7,21,11,4,98.8,3,8,5,2.42,4924985,1409990,109,305,227,1356,30,19,13,19,7966,52,11,78.53
Adobe,100025,26,116,25,1,6,4,8,979958,91057,26,48,7,12,3,75.83,1,4,5,3.02,2353091,1408627,242,236,141,1353,9,0,22,19,8892,24,6,93.39
TCS,100026,11,143,49,1,20,3,7,2241055,47024,29,79,8,8,1,95.44,4,22,0,3.13,4093059,3670114,440,441,178,1301,14,1,9,17,2291,22,7,59.27
Infosys,100027,2,180,48,0,18,2,2,1929168,201471,19,260,2,18,4,72.21,27,9,3,1.33,3923174,2715313,343,442,163,1017,15,8,8,2,8893,9,0,53.67
Cisco,100028,17,158,60,0,33,5,5,3216767,201201,4,235,6,18,3,85.17,20,6,1,1.81,764510,1276133,178,237,211,1051,4,2,16,4,2817,32,12,54.21
Intel,100029,4,136,29,0,5,2,9,841866,110532,42,224,5,8,4,81.29,12,30,1,3.4,840143,2177490,125,319,134,1239,4,2,8,3,3682,27,12,56.8
Wipro,100030,11,127,50,0,27,4,4,2703027,227906,12,191,13,22,4,77.21,8,9,2,4.75,1955015,2871752,28,211,176,1393,24,14,17,10,8803,45,0,99.36
Adobe,100031,30,129,45,0,25,2,3,2536620,65114,36,153,24,9,1,74.71,26,23,3,1.33,1136621,5458647,74,96,135,1123,25,15,11,17,1473,36,13,72.01
IBM,100032,10,115,47,0,21,3,6,2335125,219860,26,178,5,11,4,97.29,8,9,5,1.82,133067,2110010,90,4,130,1532,24,11,5,2,7297,7,8,52.84
Apple,100033,8,111,40,0,16,4,3,1705991,174780,10,281,5,7,5,79.47,18,1,0,4.01,3191463,4960843,462,399,151,1573,12,5,1,17,6755,53,2,86.26
HCLTech,100034,3,118,36,0,17,4,3,1859303,106398,19,209,6,17,2,86.77,18,18,1,3.77,1154649,514053,217,30,177,1508,14,11,15,13,6848,41,2,98.69
Oracle,100035,24,173,30,1,6,1,2,841449,109585,60,45,7,11,4,70.11,30,35,2,2.76,797868,4843683,51,234,146,1539,15,0,0,14,8447,13,15,70.22
Wipro,100036,27,136,22,0,3,2,6,477681,83088,21,220,24,0,4,81.13,1,32,2,3.71,2759027,3257955,5,469,145,1595,30,12,12,1,4581,5,5,60.66
Infosys,100037,29,171,33,0,6,2,2,964022,123301,17,150,3,22,5,93.87,29,19,0,1.5,162019,4699129,240,189,167,1324,14,12,2,14,4960,51,6,67.71
Amazon,100038,3,125,39,0,16,1,9,1860209,77579,13,214,5,19,2,71.7,14,5,3,4.98,4469902,2464939,449,143,227,1171,12,18,19,2,7468,65,2,73.16
NVIDIA,100039,9,151,46,1,22,4,4,2387546,192680,18,185,5,0,4,75.41,12,36,3,1.09,3928090,3203912,24,54,187,1228,22,4,22,2,4362,70,0,66.92
Tesla,100040,14,149,55,1,28,1,7,2784844,133582,47,138,4,16,2,85.6,8,6,0,4.29,2349273,4012045,191,85,134,1440,27,7,5,13,3222,10,10,79.46
Intel,100041,30,139,34,0,6,2,10,918848,61319,19,183,6,15,2,96.28,0,13,3,4.59,1935078,862415,412,296,221,1195,22,20,9,2,3055,37,15,87.13
Wipro,100042,11,116,43,0,21,1,1,2288275,155820,24,283,9,5,3,93.17,3,0,0,1.59,661068,2818769,206,290,165,1546,28,14,5,19,3755,61,13,82.9
Meta,100043,30,156,41,1,17,2,6,1899057,141124,5,26,24,0,3,94.3,8,1,2,2.36,3271005,3475384,313,447,150,1508,4,8,15,8,3613,10,4,65.54
Oracle,100044,13,104,43,1,21,4,8,2182559,237987,54,141,13,20,5,99.01,8,2,1,4.22,244899,4706481,142,229,235,1170,3,10,2,17,9871,26,14,64.26
Infosys,100045,28,148,42,0,19,5,7,2024569,172969,21,45,19,15,4,90.98,10,32,0,2.56,3613709,982877,274,147,199,1249,16,1,16,9,5629,48,10,61.63
Apple,100046,21,128,46,1,26,4,1,2542454,128473,60,81,8,8,2,80.45,16,32,5,1.83,592071,3087508,347,408,201,1377,3,3,10,8,3665,66,4,75.45
HCLTech,100047,24,139,41,1,17,1,5,1973661,85793,33,170,8,7,1,90.11,26,18,1,2.27,1938574,2363495,34,159,122,1402,28,10,8,6,4398,42,8,60.71
IBM,100048,13,145,36,0,10,4,3,1260821,158438,18,156,21,5,5,73.74,13,3,5,1.4,614449,420565,287,151,149,1447,29,7,1,15,7329,27,14,78.64
Accenture,100049,12,119,22,0,3,3,8,628944,89935,48,177,2,23,5,86.24,23,1,1,4.56,2006178,4602630,235,54,140,1433,20,15,7,12,6290,60,11,82.37
Meta,100050,3,148,25,0,4,5,8,644094,67662,42,45,8,20,5,84.44,10,6,3,2.4,920511,2237085,294,87,178,1507,15,2,12,18,3606,26,13,64.75
Accenture,100051,7,116,31,1,10,3,8,1276527,154533,51,203,25,19,5,85.85,12,20,1,3.92,800441,3519579,199,484,196,1436,5,6,12,4,6122,2,12,95.2
Intel,100052,18,128,54,1,30,1,8,2980052,317485,27,177,16,11,5,94.35,12,4,4,4.06,4789498,2871899,178,241,224,1344,12,13,9,8,2112,69,11,72.65
Accenture,100053,7,151,39,1,10,1,7,1290823,49199,57,56,11,4,1,99.36,21,16,4,4.82,1781770,3837226,449,259,186,1200,2,11,18,14,7473,25,1,92.23
Accenture,100054,7,122,48,0,24,4,8,2520363,191777,58,102,8,20,3,96.93,18,17,2,1.97,1187469,2138076,60,253,212,1377,8,13,22,19,2001,41,6,70.35
Accenture,100055,5,130,40,0,12,3,2,1479068,133191,27,275,9,24,3,73.62,19,16,1,2.6,1976915,631786,241,147,192,1069,12,20,3,18,3073,48,8,55.7
Accenture,100056,17,177,48,0,28,1,9,2927231,105868,48,207,14,22,1,95.79,3,19,5,2.23,3159765,5061373,382,124,186,1340,30,9,3,8,9996,9,6,75.06
Salesforce,100057,12,171,37,1,11,5,7,1198611,30248,6,263,6,5,1,95.77,3,33,4,1.68,3906352,5385540,425,208,232,1321,10,20,11,7,1826,32,12,54.65
SAP,100058,20,152,36,1,13,1,4,1515735,118030,21,274,4,20,3,85.69,24,5,2,1.05,1924026,3323961,393,217,230,1466,4,4,9,8,9196,57,5,54.99
IBM,100059,18,141,41,0,16,1,2,1717169,137332,9,179,21,0,3,74.27,0,1,4,2.68,3358349,4643952,63,101,222,1133,22,17,22,6,2499,43,12,66.82
Tesla,100060,15,108,57,1,34,4,10,3378778,180346,7,224,11,20,2,72.24,26,33,1,2.95,3637399,2460617,52,196,172,1308,8,7,17,6,5386,33,9,87.36
Meta,100061,26,155,48,1,29,4,8,2874150,107483,55,292,10,21,1,90.73,15,2,5,1.01,4159517,4131079,467,83,236,1553,20,5,17,4,2161,2,6,53.54
Infosys,100062,14,113,31,0,10,3,7,1284203,110214,15,240,13,15,3,84.94,13,38,2,2.47,2089615,1323143,237,309,229,1040,6,0,9,19,8599,40,7,60.31
Infosys,100063,23,127,34,0,11,2,10,1365592,140615,32,144,15,9,4,93.89,21,33,1,3.61,2404858,5302402,182,46,126,1568,9,1,0,13,8679,28,13,50.94
Oracle,100064,7,149,26,0,0,5,6,325108,22824,53,81,16,21,3,75.82,26,16,5,1.44,3173436,3197192,442,8,174,1563,30,10,4,13,8031,66,13,75.37
Capgemini,100065,3,138,29,0,7,5,7,1002299,76512,2,191,4,15,2,87.35,4,7,3,1.81,2606670,2774911,0,224,229,1029,20,6,2,7,3292,64,9,69.74
Meta,100066,24,130,53,0,23,2,6,2327224,131169,46,49,18,14,2,79.2,24,19,1,1.73,2367653,2742109,30,453,160,1529,13,8,5,15,3478,61,12,72.01
Apple,100067,6,136,24,1,2,4,10,421753,66052,44,181,15,11,5,74.87,22,27,0,2.46,4298193,157720,67,253,183,1241,6,11,22,16,6036,52,15,52.83
Cisco,100068,3,121,62,1,33,4,5,3298312,199215,4,59,7,19,3,85.74,12,27,5,4.1,515279,1152766,403,18,191,1478,22,18,22,16,7557,67,14,97.57
SAP,100069,19,154,27,1,0,5,4,424104,89839,20,109,2,12,5,86.49,30,32,2,2.78,2343326,4210079,311,173,172,1176,2,13,19,4,9765,39,10,94.13
Apple,100070,9,125,52,0,22,4,4,2218869,105917,11,121,25,16,2,99.89,14,14,3,1.21,4018727,5040995,499,123,230,1202,20,7,9,9,3009,59,7,61.31
Microsoft,100071,18,162,31,1,11,2,1,1377218,73453,57,92,5,20,1,71.33,22,38,4,3.4,346840,3821667,50,81,218,1105,14,20,12,14,5266,52,7,57.23
SAP,100072,10,127,58,0,30,4,7,2961753,127651,4,21,16,18,2,91.44,11,0,5,4.51,2916255,5448491,141,340,134,1006,9,2,12,20,8079,39,2,53.45
Adobe,100073,2,108,29,0,9,1,8,1039707,111077,47,187,17,19,4,73.91,27,5,0,2.22,3813754,1589196,76,325,210,1392,13,13,14,6,6574,54,1,88.97
Capgemini,100074,28,150,51,1,30,1,10,2970399,184542,29,53,19,5,3,76.06,4,5,2,1.75,1360330,4449475,456,148,158,1539,4,6,6,11,5415,22,5,69.36
TCS,100075,27,114,54,1,33,1,9,3209840,111864,20,168,13,25,1,89.44,18,15,5,3.6,3334902,1609356,486,50,170,1257,17,18,14,13,4727,70,4,88.31
Apple,100076,27,160,62,1,34,2,2,3425835,281608,20,74,17,1,4,99.48,13,8,3,1.26,330947,2615229,102,28,151,1470,7,4,0,2,1215,53,2,55.95
Wipro,100077,18,156,56,1,33,4,6,3193832,241022,22,270,7,2,3,73.3,14,16,2,3.01,1406345,4598716,74,199,128,1174,28,18,7,8,3817,21,12,90.09
Oracle,100078,16,141,44,1,18,4,9,1863171,152099,40,227,16,4,4,75.46,29,24,5,2.48,3364630,3895245,76,395,168,1411,5,2,5,9,5937,34,12,65.16
Infosys,100079,14,171,52,0,29,5,7,3024190,204599,43,90,6,10,3,92.11,1,39,3,4.71,674966,4835441,376,240,179,1131,24,1,2,7,7818,40,4,84.69
Cisco,100080,24,129,31,1,2,2,6,411779,75879,58,213,22,20,5,73.5,26,33,1,2.6,849307,5343336,150,271,130,1236,24,15,12,10,2037,45,3,70.65
Salesforce,100081,4,171,34,1,15,3,2,1615193,131082,41,42,25,16,4,90.85,0,13,4,4.25,3276607,1784157,450,126,238,1339,27,9,5,3,2049,26,4,82.11
Oracle,100082,24,161,52,0,23,1,6,2506829,190520,33,156,6,17,3,92.45,1,20,2,1.64,2557301,2311692,3,121,197,1030,22,18,20,7,1896,5,6,71.21
Infosys,100083,10,169,32,0,7,1,2,1014121,44355,33,13,7,4,1,79.79,11,22,5,1.17,655596,5279790,210,454,162,1461,25,10,21,6,4157,47,2,71.26
TCS,100084,24,103,31,1,12,4,1,1358490,54898,11,234,2,6,2,88.78,5,28,5,4.18,2837352,2305870,370,211,208,1363,23,14,6,5,6065,27,6,58.61
Amazon,100085,9,169,35,0,11,3,4,1425484,29720,22,166,11,9,1,86.79,23,10,4,4.49,3230801,202928,32,20,145,1147,6,18,1,16,2234,24,9,76.72
NVIDIA,100086,12,125,30,0,8,5,7,921861,51622,21,276,18,12,2,71.16,4,30,1,1.94,4106088,2565905,311,193,122,1488,20,15,1,8,3939,49,15,54.23
Cisco,100087,15,152,29,1,5,4,4,846073,88220,30,263,18,20,3,89.91,3,35,5,4.4,3936479,1220317,499,44,163,1241,22,17,1,16,8962,68,10,84.66
Intel,100088,30,103,55,0,27,5,7,2774102,326024,26,51,21,1,5,88.74,10,22,3,4.91,2836779,3572407,34,323,209,1082,23,3,1,18,9596,18,2,90.15
Tesla,100089,12,103,60,0,31,4,1,3053165,292372,47,187,19,13,4,70.17,2,27,0,4.53,1218382,4711887,253,311,120,1588,17,7,20,16,4880,51,2,80.13
Wipro,100090,22,158,29,0,7,3,3,1045822,49778,11,131,15,10,1,75.35,7,35,2,4.98,2164602,301238,4,414,146,1427,20,11,8,7,1715,28,3,62.26
Alphabet,100091,24,119,28,0,8,5,2,1061075,112314,6,138,7,4,3,94.8,5,36,1,3.72,4395752,3612305,97,378,169,1476,3,1,4,11,2140,65,1,67.84
Cisco,100092,21,156,24,1,4,5,7,608832,80980,55,212,7,10,5,97.36,21,13,5,3.56,1477619,600005,417,202,149,1039,23,17,15,8,8949,31,11,56.22
Tesla,100093,18,107,55,0,28,3,10,2739053,117530,43,8,2,9,2,87.85,0,20,5,1.72,4015761,1863545,127,467,143,1482,25,1,2,7,9110,16,5,82.03
Salesforce,100094,24,154,54,0,35,4,6,3441314,113588,15,168,17,4,1,76.52,27,22,2,4.13,3031776,5135329,165,243,189,1109,13,17,8,9,9061,31,13,81.6
Adobe,100095,21,133,32,1,7,5,5,1017047,92027,59,187,15,25,3,96.33,25,35,2,4.14,3400939,1469759,303,79,121,1217,27,18,2,19,3630,16,15,99.57
Capgemini,100096,18,125,38,1,18,5,10,2026276,130992,2,217,9,10,3,86.72,10,39,2,4.79,3267006,5103148,229,69,120,1328,2,15,16,8,3442,14,13,89.45
TCS,100097,20,123,55,0,30,4,7,3009308,206693,32,193,20,7,3,71.06,8,22,4,3.07,694121,2238523,315,73,145,1116,13,18,14,11,9153,34,15,74.42
SAP,100098,15,152,29,0,4,2,3,561773,16061,4,60,16,11,1,80.02,5,16,3,1.82,108234,733963,76,366,143,1314,4,10,15,18,4285,48,14,63.11
IBM,100099,14,119,55,0,26,1,5,2596565,109514,39,135,14,20,2,70.65,18,1,4,4.06,1125781,244837,431,34,194,1208,25,9,19,19,1217,64,6,53.69
Capgemini,100100,17,103,26,0,6,2,3,978428,63764,60,218,19,0,1,71.42,20,31,0,2.13,269514,4101433,450,125,206,1289,17,4,2,7,7001,25,12,85.62
IBM,100101,24,125,34,1,8,2,5,1106590,47600,43,165,11,1,2,85.79,8,3,3,2.3,291069,283296,361,39,124,1294,14,19,4,10,1840,11,13,81.62
Salesforce,100102,10,152,31,1,10,5,2,1145725,126156,50,181,10,13,4,85.85,10,24,2,4.24,1014376,3978971,481,354,145,1182,11,16,0,2,4232,4,4,64.77
Alphabet,100103,16,129,56,0,35,4,7,3447970,80621,3,124,16,25,1,94.26,11,36,1,4.39,1182169,2074438,21,143,217,1004,13,1,13,17,6393,5,10,65.94
Adobe,100104,5,154,31,1,11,3,3,1379333,90755,14,185,19,8,3,77.29,20,17,0,3.11,4533735,223416,375,402,216,1395,23,1,4,2,7664,20,1,96.04
Meta,100105,4,172,58,0,33,4,9,3226031,211128,28,40,15,20,3,72.44,7,12,4,1.22,208364,1105632,74,272,188,1508,19,20,11,7,1634,11,12,58.78
Intel,100106,16,179,30,0,4,4,3,619503,81922,16,107,15,23,5,94.9,7,23,2,4.1,815787,2965295,215,286,211,1419,24,5,9,13,8047,20,13,99.03
Cisco,100107,4,176,49,1,30,5,1,3081593,101989,47,210,13,19,1,87.86,16,8,2,2.09,334149,4254031,24,376,188,1000,12,6,3,19,6254,15,10,76.38
Infosys,100108,22,128,33,0,8,5,4,1132627,59282,50,267,23,9,2,94.66,28,11,1,3.06,4488628,4389632,49,90,238,1237,26,16,20,2,1445,51,6,99.56
Wipro,100109,2,104,37,1,7,5,9,877713,111577,56,130,3,2,5,74.17,0,16,2,3.76,2892255,4664260,247,154,161,1172,7,4,9,6,4498,34,13,99.51
Accenture,100110,17,169,26,0,2,1,6,578817,19544,41,135,15,22,1,75.02,14,21,4,4.96,1614164,1616063,173,158,191,1244,29,9,2,13,3069,39,1,89.39
Microsoft,100111,22,174,54,0,31,2,5,3069930,203438,34,261,19,8,3,76.65,14,27,3,4.68,4399908,3398527,250,2,120,1594,7,15,6,11,7195,37,15,57.29
TCS,100112,25,139,32,0,10,2,4,1343064,54183,32,67,22,9,2,72.74,28,15,5,3.8,1956210,3051420,299,376,237,1113,9,16,22,17,6255,36,12,59.66
Adobe,100113,12,106,41,1,19,4,4,2060993,105173,49,275,3,7,2,86.08,11,5,2,3.52,3681028,3706770,425,395,216,1530,6,13,6,13,1587,13,14,87.61
Tesla,100114,27,115,40,1,18,5,2,2057471,111453,46,114,24,4,2,99.52,23,9,1,4.59,2609096,4386019,470,271,175,1120,22,4,3,11,4099,49,2,56.06
Meta,100115,3,118,30,0,1,5,2,484514,76526,32,292,17,9,3,99.39,7,2,4,4.29,3424039,1870330,215,240,163,1466,8,3,18,17,6975,28,2,65.48
Alphabet,100116,3,114,48,0,22,4,3,2197525,70454,5,80,11,16,1,70.31,19,1,4,3.18,4836261,4094227,146,334,211,1517,5,8,13,11,3259,7,7,66.59
Alphabet,100117,7,106,49,1,27,1,9,2784920,172816,25,284,12,23,3,99.62,2,11,1,1.86,3044371,567725,306,143,225,1299,11,18,19,4,7656,67,3,95.73
TCS,100118,5,114,41,0,21,5,7,2328164,108202,43,196,21,12,2,72.92,9,39,4,3.6,2020871,1818013,161,253,231,1438,19,13,6,13,3185,35,7,81.43
Cisco,100119,13,157,49,0,19,4,2,2015259,101680,31,85,18,25,2,92.57,29,6,1,3.94,2064813,1224951,28,457,229,1567,7,17,18,13,3772,55,0,95.1
Amazon,100120,2,130,25,0,5,5,6,656662,48306,33,88,11,25,1,92.27,24,31,1,2.49,149764,2182782,365,43,151,1270,19,15,7,13,3915,42,15,64.83
Intel,100121,25,176,55,1,26,2,1,2681562,279631,0,1,11,6,5,82.59,1,16,5,3.91,1275725,3754510,375,192,196,1237,16,17,10,7,8709,69,3,69.01
Alphabet,100122,2,149,51,1,27,4,3,2714409,76512,5,203,20,24,1,85.17,11,35,4,2.31,3189238,4552052,135,269,225,1537,29,15,15,4,2623,62,1,60.2
Microsoft,100123,27,180,23,1,2,1,4,507559,44737,35,26,3,23,3,85,8,12,5,3.52,3849859,2754299,378,194,202,1048,16,13,18,19,9626,39,3,61.59
Capgemini,100124,5,168,37,0,7,2,10,891683,110771,8,51,10,22,4,76.3,14,34,1,2.05,4161481,258265,359,290,237,1192,24,12,19,16,3331,22,14,85.02
Amazon,100125,11,113,49,1,30,3,6,3106121,62763,60,91,21,8,1,92.13,2,3,0,3.04,4339153,4667838,206,272,148,1231,2,19,2,4,8750,4,6,60.95
Microsoft,100126,12,135,48,0,19,4,6,2112613,239761,35,124,10,5,5,89.76,26,27,4,4.08,1189091,842157,496,10,151,1495,3,16,13,13,7830,64,1,66.31
Oracle,100127,27,168,44,1,21,3,7,2240546,67314,59,247,2,8,1,76.61,29,19,5,4.13,1967067,747828,32,326,146,1216,23,15,5,2,8813,50,1,93.36
Microsoft,100128,9,103,52,1,27,1,8,2714418,279758,16,42,17,2,5,99.97,12,8,0,3.97,3124881,4568218,308,171,180,1116,13,10,9,4,9041,58,14,96.11
Microsoft,100129,23,103,26,1,1,5,2,355712,7938,53,242,24,11,1,97.42,22,37,5,4.43,1719343,2739864,3,0,220,1437,4,8,0,19,1113,55,2,51.42
TCS,100130,14,155,31,0,1,4,4,486698,45985,20,19,14,1,1,86.96,24,5,3,3.65,2997966,3109013,111,307,231,1143,23,5,22,7,1202,26,10,51.31
Meta,100131,27,160,47,1,24,1,8,2417950,79283,48,192,17,9,1,77.34,1,16,3,2.84,1522190,5374262,316,76,137,1215,25,9,21,4,9836,51,8,68.05
Adobe,100132,4,101,37,1,14,3,4,1534218,69413,54,295,6,8,1,93.66,0,4,3,4.93,4801250,4533641,421,89,220,1410,27,6,19,8,4016,57,14,81.49
TCS,100133,20,117,37,1,17,5,1,1758944,79651,58,158,4,1,1,95.18,12,20,2,4.59,1251496,411408,273,17,153,1131,24,8,3,8,4055,57,7,88.26
Cisco,100134,13,113,56,0,34,2,1,3294842,212456,22,111,22,22,3,86.41,22,3,4,2.02,800740,2922090,452,241,131,1295,22,13,6,13,1694,43,14,95.13
Capgemini,100135,14,101,38,0,13,3,5,1500002,60999,10,128,19,24,2,72.11,21,19,4,2.75,1314756,5231950,323,313,148,1277,7,15,19,1,4090,49,3,95.5
IBM,100136,10,158,43,1,18,5,5,2020509,68757,33,217,16,5,1,76.84,28,10,1,2.8,3186731,2098127,65,387,123,1491,20,17,11,18,5092,66,12,93.57
Meta,100137,21,135,39,1,12,4,3,1525069,150881,34,23,11,21,4,78.07,0,20,2,2.44,288878,578447,29,170,130,1510,19,12,21,1,9981,10,13,84.88
Amazon,100138,26,166,27,0,2,5,4,536189,78561,6,266,17,21,5,95.48,30,27,0,1.88,1963105,4635722,23,244,136,1065,3,5,13,17,1580,40,0,83.76
NVIDIA,100139,7,102,40,1,10,1,9,1138040,129367,4,94,2,13,5,75.22,23,34,2,4.11,1268612,2818528,53,350,229,1138,29,19,8,8,7565,35,14,91.18
Microsoft,100140,13,146,52,0,25,3,7,2664649,230517,5,72,12,15,4,75.61,9,22,1,2.72,4854330,1218429,279,441,229,1070,9,15,15,12,1342,13,2,66.15
Capgemini,100141,18,107,49,1,24,5,3,2425488,86104,30,7,3,16,1,85.85,22,7,0,1.87,293622,2247309,438,25,227,1326,12,14,3,20,2008,11,8,89.06
Microsoft,100142,11,171,40,1,16,3,2,1837374,102185,32,52,23,7,2,75.74,26,13,5,4.41,3883867,2795695,351,380,235,1538,30,10,20,2,7566,54,10,54.05
TCS,100143,29,159,25,0,1,1,7,461283,83481,21,28,5,12,4,97.81,11,6,5,4.9,860666,4122382,57,160,187,1147,14,4,2,19,6696,2,6,56.2
HCLTech,100144,9,133,29,1,9,1,5,1145440,122286,2,15,3,17,5,88.68,0,3,2,4.53,638070,4229483,97,409,148,1426,10,8,22,14,3726,58,14,54.3
Intel,100145,29,163,41,1,19,3,6,1963329,73566,17,105,25,14,1,99.4,7,37,5,3.38,3475228,4209495,430,465,173,1341,17,0,16,5,9858,7,4,69.88
Wipro,100146,22,108,34,1,11,3,7,1407098,116117,44,252,18,14,3,84.41,14,24,4,1.77,2377818,3989787,39,305,133,1364,9,14,14,9,6500,70,6,64.6
TCS,100147,15,106,54,1,27,3,10,2848417,201332,19,92,12,5,3,95,20,34,5,1.02,953592,2584782,71,389,201,1477,18,5,18,5,5293,62,14,54.64
Infosys,100148,20,143,54,0,30,2,10,2902634,83669,17,84,24,9,1,78.49,13,7,2,3.23,4715140,156496,63,428,198,1452,25,19,6,10,9182,3,2,65.95
Meta,100149,25,175,57,0,34,5,2,3340133,76146,34,238,14,17,1,85.63,27,35,1,2.54,1643666,2769417,306,239,213,1279,4,12,0,16,2524,25,13,90.77
Microsoft,100150,25,120,35,0,16,4,7,1681004,43320,17,192,14,12,1,80.72,9,31,1,4.72,4955714,5427758,315,115,234,1021,11,9,14,6,1063,50,3,70.89
Adobe,100151,5,153,52,0,28,1,4,2846711,148884,58,123,1,22,2,87.7,1,24,4,3.5,4452436,5141109,58,369,201,1541,24,9,21,7,5116,72,7,92.86
